stars,date,review,sentiment_label,review_length
5.0,2025-09-18,기대 되 작품,1,13
5.0,2025-09-18,집중 읽,1,12
5.0,2025-09-01,재미있 읽히,1,13
5.0,2025-08-30,책 읽 학교 선정 읽 주문 아이 좋아하 책 이제 소장,1,54
5.0,2025-08-29,책 좋 추천,1,10
5.0,2025-08-27,논술 학원 교재 구매 사 기대,1,29
5.0,2025-08-10,재밌 읽,1,11
5.0,2025-08-03,지인 추천 구매 기대,1,22
5.0,2025-08-01,독고 노숙자 민간인 살아가 과정 담기 내용 감동 부분 담기 슬프 책,1,57
5.0,2025-07-29,내용 좋,1,14
5.0,2025-07-24,공간 속 펼쳐지 작 이야기 있 사연 다정 품 소설,1,64
3.75,2025-07-06,읽히 글 막히 읽 궁금증 풀리 이야기 합치 속 삶 생각 글,0,83
5.0,2025-07-02,재밌 읽,1,13
5.0,2025-06-22,유명 소설 읽히 재미 감동 있,1,30
5.0,2025-06-19,읽 문제 연속 삶 가운데 마음 책,1,36
5.0,2025-06-12,재미있 하 구매 읽,1,24
5.0,2025-05-27,재미있 읽,1,12
5.0,2025-05-19,읽 책 읽히 좋,1,24
5.0,2025-05-15,동생 읽 하 사 책 읽 표지 한국 최고 힐링 소설 적히 자신 모르 쌓이 일상 스트레스 소설 읽 동안 조금 좋,1,126
5.0,2025-05-12,책 구성 깔끔 도움 되,1,22
5.0,2025-05-12,문장 몰입 되,1,17
5.0,2025-05-01,내용 재밌 공감,1,13
5.0,2025-05-01,내용 재밌 공감,1,12
5.0,2025-04-23,기대,1,11
5.0,2025-04-19,마음 책,1,13
5.0,2025-04-19,이야기 흐름 마음 소설 코로나 시대 배경 추억 소설,1,47
5.0,2025-04-09,감명 깊 읽 추천,1,21
5.0,2025-04-01,묻어나 책,1,15
5.0,2025-03-31,시간 가 모르 읽 뒷이야기 마음,1,38
5.0,2025-03-20,아이 학교 읽 추천 책 구매,1,24
5.0,2025-03-17,재미있 읽,1,13
5.0,2025-03-16,예전 읽 벚꽃에디션 맘 들 소장 주문,1,35
5.0,2025-03-09,가슴 먹먹하 읽히 느끼 읽,1,46
5.0,2025-02-25,읽 많 생각 디,1,19
5.0,2025-02-23,읽,1,9
5.0,2025-02-23,편안 숨 쉬 말 태도 관계 대하 뒤돌아보 되 책 느낌 의미 좋 재밌,1,64
5.0,2025-01-24,재밌 감동,1,13
5.0,2025-01-17,재미있 감동 있 책 보 연극 하 보 오,1,33
5.0,2025-01-14,힐링 주 소설 마음 책 우울 힘들 때 읽 좋 같 기대 하 보 소설 엄청나 명작,1,85
5.0,2025-01-12,추천 구매 기대,1,19
5.0,2025-01-02,재미있 읽,1,13
5.0,2024-12-30,재밌 읽,1,11
5.0,2024-12-18,유명 이유 있,1,12
5.0,2024-12-17,마음 이야기,1,18
5.0,2024-12-13,재미있,1,10
5.0,2024-12-13,재미있,1,10
5.0,2024-12-11,베스트셀러 있 사,1,24
5.0,2024-12-10,베스트셀러 이유 있 읽,1,27
5.0,2024-11-28,웹툰 보 책 보 감성 살 작품,1,29
5.0,2024-11-27,재미있 읽,1,10
5.0,2024-11-26,느끼 있 이야기,1,26
5.0,2024-11-23,처음 재밌 직 읽 책 읽 시작 읽 좋 같,1,57
5.0,2024-11-21,힐링 되 편의점,1,11
5.0,2024-11-12,읽 좋 책 감사,1,20
5.0,2024-11-12,읽 좋 책 감사,1,20
5.0,2024-11-04,재밌 읽 김호연 작가 작품 최고,1,30
5.0,2024-10-28,없 일,1,10
5.0,2024-10-28,선물 책 괜찮 책 따뜻하 책,1,18
5.0,2024-10-23,재밌,1,7
5.0,2024-10-23,힐링 때 읽 좋 사람 냄새 풍기 힐링 소설 추천,1,40
5.0,2024-10-22,아이 좋아하,1,8
5.0,2024-10-21,순식간 읽히 좋 책,1,16
5.0,2024-10-17,마음,1,13
5.0,2024-10-16,재미있 읽,1,9
3.75,2024-10-14,편하 읽 책,0,10
3.75,2024-10-13,기대 재밌 읽히 책,0,32
5.0,2024-10-10,재밌 하 읽 표지 이쁘,1,20
1.25,2024-10-02,하 반 읽 나가,0,17
5.0,2024-10-01,추천 구매,1,12
5.0,2024-09-29,재미있 읽,1,10
5.0,2024-09-21,마음 힐링 책 좋,1,15
5.0,2024-09-19,힐링 도서 재밌,1,16
5.0,2024-09-13,힐링 감성 편안 읽 좋 소설,1,23
5.0,2024-09-10,추천 책 소장 이쁘 책,1,21
5.0,2024-09-09,재미있 읽,1,10
5.0,2024-09-02,인기 많 하 구매 읽 기대,1,31
5.0,2024-08-27,재밋너 힐링,1,23
5.0,2024-08-26,힐링 책,1,10
5.0,2024-08-25,읽 기대,1,15
5.0,2024-08-23,좋 유익,1,12
5.0,2024-08-22,노숙자 편의점 알바 하 스토리 내용 힐링,1,47
5.0,2024-08-22,읽,1,13
5.0,2024-08-22,초등 아이 보 구매 재밌 읽,1,32
5.0,2024-08-22,책 흥미,1,12
5.0,2024-08-22,재밌 읽 책 소장,1,13
5.0,2024-08-21,선물 구매 만족,1,18
5.0,2024-08-19,중학 조카 읽 하 선물 재미나 읽 하,1,44
5.0,2024-08-19,읽,1,5
5.0,2024-08-19,책장 넘어가 재밌 읽,1,19
5.0,2024-08-17,학교 준비물,1,9
5.0,2024-08-14,가슴 책 오 읽 감동,1,28
5.0,2024-08-13,가슴 저리 최고 힐링 편의점 가,1,33
5.0,2024-08-10,독고 인간 감동 부르 일으키 읽 눈물,1,48
5.0,2024-08-06,인물 감정 깊 통찰 이입 인물 아끼 전하,1,55
5.0,2024-08-02,딸 읽 책 소장 하 구매,1,28
5.0,2024-08-01,감동 이야기,1,11
5.0,2024-07-31,성인 되 딸아이 읽 하 구입 학교 생활 사회 생활 지치 때 힐링,1,44
5.0,2024-07-29,웹툰 보 구매,1,15
5.0,2024-07-29,유익 책,1,9
3.75,2024-07-28,재밌 읽,0,15
5.0,2024-07-21,아이 재미있 읽,1,19
5.0,2024-07-21,재밌 읽,1,11
5.0,2024-07-20,편안 읽 책,1,16
5.0,2024-07-20,재미있 읽 동생 선물,1,23
3.75,2024-07-20,아이 재미있 읽,0,13
5.0,2024-07-19,재밌 읽,1,12
5.0,2024-07-18,최근 뮤직 드라마 예고 원작 소설 접하 되 힐링 소설 잔 보,1,45
5.0,2024-07-18,최근 뮤직 드라마 예고 원작 소설 접하 되 힐링 소설 잔 보,1,45
5.0,2024-07-15,독고 배려 심 깊,1,22
5.0,2024-07-10,책 추천,1,11
5.0,2024-07-07,빠르 정확 배송 감사,1,16
5.0,2024-07-07,감동 읽 참깨 참소주 참치 김밥 땡기,1,44
5.0,2024-07-06,아 추천 책 구입 요즘 표지 유행 책 읽 생기,1,50
5.0,2024-07-02,아이 재미있 읽,1,14
5.0,2024-07-01,요즘 소설 읽 재미 들리,1,17
5.0,2024-06-28,주변 아기 담 공감 되 느끼 있 소설,1,41
5.0,2024-06-25,읽 마음 편하,1,17
5.0,2024-06-25,재미있 읽,1,13
5.0,2024-06-22,내용,1,9
5.0,2024-06-21,읽 사,1,19
5.0,2024-06-17,가독성 좋 마지막 감동,1,21
5.0,2024-06-15,작가 감성 살 았음 보 인간 감수 표현 책,1,44
5.0,2024-06-15,이웃 친구 추천 책 생각나 구입 애 없 때 읽 표지 읽 읽 불편 편의점 가을 버전 보 기대 책,1,100
5.0,2024-06-14,감사,1,12
5.0,2024-06-14,읽 마음 몽글 책 감사,1,26
5.0,2024-06-13,유익 책,1,8
5.0,2024-06-11,재밌 보 읽 재밌,1,26
5.0,2024-06-09,하루 읽 책 하,1,17
5.0,2024-06-08,재미 감동 동시,1,11
5.0,2024-06-07,배송 되 읽 마음 읽 책 생각 보 읽 마음 열리 결말 읽 리뷰 비하 하 고민 웹툰 나오 같 웹툰 챙기,1,159
5.0,2024-06-06,도움 되 읽,1,13
5.0,2024-06-05,힐링 자체,1,10
5.0,2024-06-05,마음,1,11
5.0,2024-06-04,공감 내용,1,11
5.0,2024-06-03,기분 좋 미소 책 덕분 날 되 지내,1,50
5.0,2024-06-02,재미있 읽,1,13
5.0,2024-05-31,재밌 힐링,1,15
5.0,2024-05-31,재밌 힐링,1,12
5.0,2024-05-31,딸 재미있 추천 책 딸 추천 학년 친구 선물 재미있 읽 합 니 디,1,58
5.0,2024-05-28,웹툰 나오 읽,1,21
5.0,2024-05-27,구매 작가 사인,1,28
5.0,2024-05-26,하루 읽 정도 재밌,1,15
5.0,2024-05-25,표지 예쁘 후기 많 구매,1,22
5.0,2024-05-23,산해진미 도시락,1,8
5.0,2024-05-17,읽 재미있,1,13
5.0,2024-05-16,힐링 때 꺼내 책 자 전 읽 하루 마무리 채우 책,1,48
5.0,2024-05-15,수행평가 도움,1,11
5.0,2024-05-15,책 쓰 작가 감사,1,16
5.0,2024-05-15,초등학교 학년 아들 읽 재미있 하,1,25
3.75,2024-05-14,가슴 책,0,10
5.0,2024-05-14,재밌 읽,1,12
3.75,2024-05-13,불편 편의점 불편 인생 열쇠 찾아가 공간 삶 방향키 손 쥐 느낌 기대,0,70
5.0,2024-05-10,재미나 읽 많 사람 보 이유 있,1,31
5.0,2024-05-09,힐링 되 재미 슬픔 느낌 있 좋,1,37
5.0,2024-05-07,읽 소설 오랜만 힐링 좋,1,28
5.0,2024-05-07,주인공 서사 기대 책,1,31
5.0,2024-05-07,주인공 서사 풀 읽히 책 서사 책,1,42
5.0,2024-05-05,굿 드,1,2
3.75,2024-05-03,오래간만 읽 책 재미있 며칠 안 읽 주인공 독고 궁금하 읽 주변 사람 책 읽,0,86
5.0,2024-05-03,재미있 읽,1,12
5.0,2024-05-02,재미있 읽,1,13
5.0,2024-04-30,주변 추천 읽 되 읽 힐링 마음 느낌 오랜만 소설 읽 추천,1,69
5.0,2024-04-30,좋 좋 사,1,12
5.0,2024-04-30,읽히 좋 각자 사연 일으키 사람 주 독고 풍,1,50
5.0,2024-04-27,재미있 읽,1,12
5.0,2024-04-27,선물 사 책,1,10
5.0,2024-04-23,평 좋 읽 시작 글 힐링 되 반나절 읽 일상 생활 있 이야기 모이 집중 읽,1,82
5.0,2024-04-21,에디션 표지 예쁘,1,13
5.0,2024-04-19,좋 흡입 읽,1,13
5.0,2024-04-19,재밌 읽,1,11
5.0,2024-04-19,힐링 책,1,14
5.0,2024-04-17,일상 이야기 접근,1,20
5.0,2024-04-14,작가 다루 작품 연극 보 후 완전 팬 되 매력 있 인물 책 힐링템,1,59
5.0,2024-04-09,소문 읽 문체 감기,1,27
5.0,2024-04-09,미음 글,1,21
5.0,2024-04-08,아이 재미있 읽,1,14
5.0,2024-04-06,엄마 드리 읽 괜찮,1,27
5.0,2024-04-03,재미 감동 있 책 기대,1,22
5.0,2024-04-02,킬링 타임 좋,1,13
5.0,2024-04-02,재밌 보 책,1,19
5.0,2024-04-01,기다리 기다리 책 읽,1,25
5.0,2024-03-31,읽 시간 나 읽,1,27
5.0,2024-03-29,읽,1,8
5.0,2024-03-28,마음 하루 읽,1,21
5.0,2024-03-28,전 읽 생각 하 구매 읽 재미 있 마음 같 책 비닐 고정 되 상하 도착 일 없 읽,1,100
5.0,2024-03-25,재미있 읽 있 책 좋,1,24
5.0,2024-03-18,읽 책 구입,1,26
5.0,2024-03-18,좋아하 책 소중하 재밌,1,26
5.0,2024-03-18,재마 있,1,8
5.0,2024-03-17,딸 초등학생 되 읽 주 예정 문장 읽히,1,37
5.0,2024-03-17,주문 기대,1,12
5.0,2024-03-15,시간 가 모르 재밌 읽,1,22
5.0,2024-03-13,엄마 읽 베스트 셀러,1,17
5.0,2024-03-12,표지 도서 명 보 기억 남 책 읽 읽히 공감 힐링 되 머릿속 장면 상상 소설 재밌 읽,1,90
5.0,2024-03-04,베스트셀러 구매 재밌 읽히,1,31
5.0,2024-03-04,베스트 셀러 구매 읽히 아이 재밌 하,1,37
5.0,2024-03-01,읽,1,12
5.0,2024-02-28,재밌 읽히,1,14
5.0,2024-02-27,초입 읽 재밋 같,1,19
5.0,2024-02-26,재밌 읽 선물 구매,1,36
5.0,2024-02-26,읽히 좋 재밌 읽 친구 선물 주 주문,1,45
5.0,2024-02-23,불편 편의점 재미있,1,13
5.0,2024-02-21,이틀 읽 몰입 되 감동 하 따뜻하 책 작가 사랑,1,68
5.0,2024-02-21,고단하 삶 위로 되,1,20
5.0,2024-02-21,고단하 삶 위로 되,1,20
5.0,2024-02-20,포장 되 배송 오 만족,1,24
5.0,2024-02-20,친구 읽 하 생일 선물 구매,1,24
5.0,2024-02-18,재밌 읽,1,18
5.0,2024-02-16,힐링 하 좋,1,10
5.0,2024-02-15,힐링 되,1,7
5.0,2024-02-14,포장 되 배송 오 만족,1,24
5.0,2024-02-13,재밌 힐링 좋,1,14
5.0,2024-02-13,재밌 감동 자체 보 울,1,27
5.0,2024-02-08,최고 힐링 도서 읽 위로 친구 선물,1,38
5.0,2024-02-08,불편 편의 전 독고,1,10
5.0,2024-02-08,오랜만 읽 소설책 인기 들썩거리 구매 최근 뉴스 표지 이름 내용 책 출판 많 구매 때 조심 내용 하 생각 내용 읽 따르 소소하 힐링 되 있 내용 생각 일주일 읽 하,1,210
3.75,2024-02-07,재미있 읽 추천,0,12
1.25,2024-02-07,책 읽 불편 점 술 마시 기독교인 표현 문장 술 취하 괜찮 합리 문맥 모르 당시 시대 상황 포도주 지금 물 같 점 알리 술 마시 기독교인 모습 짧 글 남기,0,156
5.0,2024-02-07,소장 용 책 예쁘 맘 들,1,20
5.0,2024-02-07,책 예쁘 같 좋,1,13
5.0,2024-02-04,구입 읽 재미있 유익 읽 구입 선물,1,44
5.0,2024-02-01,겨울 따뜻하 읽,1,17
5.0,2024-01-30,선물 위하 준비 시간 지나 읽 감동 있 책,1,41
5.0,2024-01-30,마음 들 추천,1,11
5.0,2024-01-29,재미 감동 주 좋 책 생각,1,39
5.0,2024-01-29,편하 읽 있 선물 구매,1,23
5.0,2024-01-28,조카 선물 구매 좋 선물 되,1,23
5.0,2024-01-28,재미있 겨울 선물 에디션 사은품 생각 괜찮,1,35
5.0,2024-01-26,잠 자 표지 힐링,1,21
3.75,2024-01-26,마지막 결말 급하 마무리 느낌,0,29
5.0,2024-01-24,아이 좋 히,1,10
5.0,2024-01-24,감명 깊 읽,1,13
5.0,2024-01-22,유용 활용,1,17
5.0,2024-01-21,마음 깊 울림 주 책,1,29
5.0,2024-01-20,글 읽히 재밌 베스트셀러,1,31
5.0,2024-01-19,방학 때 보,1,15
5.0,2024-01-19,아이 보,1,14
5.0,2024-01-18,제목 마음 끌리 주문 책 도착 읽,1,34
5.0,2024-01-16,재밌 책 오랜만 읽 재밌,1,24
5.0,2024-01-15,일상 속 편의점 문제 해결 모습 힐링,1,32
5.0,2024-01-12,불편 편의점 재밌,1,15
5.0,2024-01-12,불편 편의점 재밌,1,15
5.0,2024-01-11,조카 선물 좋아하,1,18
3.75,2024-01-10,배송 빠르 힐링,0,13
5.0,2024-01-10,재밌 읽 책,1,36
5.0,2024-01-08,일상 안 편의점 이야기 담 읽히 편안 마음 읽,1,43
5.0,2024-01-08,겨울 에디션 나오 전 읽 책 보 감동 소설 힐링 되,1,44
5.0,2024-01-05,읽 편안 책 선물 구입,1,26
5.0,2024-01-01,재밌 순식간 읽,1,15
5.0,2023-12-31,선물 사 좋 책,1,19
5.0,2023-12-30,학년 초등학생 읽 사 재미있,1,29
5.0,2023-12-29,스마트폰 신경 기울이 책 몰두 기억 최근 없 책 넘 몰두 읽 이틀 완 독 읽히,1,85
5.0,2023-12-28,읽 책 기대,1,13
5.0,2023-12-27,순식간 읽히,1,10
5.0,2023-12-26,겨울 에디션 구매,1,16
5.0,2023-12-26,유명 겨울 선물 에디션 이야기 장바구니 담 재미있,1,48
5.0,2023-12-24,좋 좋,1,14
5.0,2023-12-24,좋 좋,1,14
5.0,2023-12-24,추천 재미있 습 미 자,1,11
5.0,2023-12-23,마음 책 추천,1,22
3.75,2023-12-23,좋 세상 사 맛 있,0,15
5.0,2023-12-22,초반 좋 도서,1,16
5.0,2023-12-21,재밌 읽 추천,1,15
5.0,2023-12-20,재 있 감동 있 힐링 책 강력 추천,1,32
5.0,2023-12-20,재밌 보 글 읽히 시간 내 보 좋,1,32
5.0,2023-12-18,오랜만 소설책 읽 읽 불편 편의점 구매 재밌,1,46
5.0,2023-12-18,재미있 읽 선물 하 구매 선물 사람 읽 좋 배송 감사,1,82
5.0,2023-12-17,읽 아이 좋 크 읽 추천,1,35
5.0,2023-12-15,시작 읽히 재밌 읽,1,24
5.0,2023-12-15,아들 위하 책 선물 마음 책 좋,1,28
5.0,2023-12-14,재미있 읽 일상 닿 같 좋,1,34
5.0,2023-12-13,재밌 읽 추천,1,13
5.0,2023-12-10,재밌 추천 구입,1,15
5.0,2023-12-05,재미있 읽히,1,12
5.0,2023-12-05,재미있 읽 선물 하 구매 선 물 사람 읽 좋 배송 습 니 감사,1,84
5.0,2023-12-04,관련 분야 공부 도움 되,1,13
5.0,2023-12-04,공감 좋 내용,1,13
5.0,2023-12-04,마음,1,9
5.0,2023-12-04,좋 좋 좋,1,13
5.0,2023-12-03,재미있 읽,1,9
5.0,2023-12-03,좋 책 사,1,12
5.0,2023-12-03,좋 책 사,1,12
5.0,2023-12-03,좋 책 사,1,13
5.0,2023-12-03,,1,10
3.75,2023-12-02,읽 재미있 같,0,19
5.0,2023-11-30,재밌 읽,1,17
5.0,2023-11-28,재미있 베스트 셀러,1,12
5.0,2023-11-26,에피소드 좋 기대,1,24
5.0,2023-11-26,평소 소설 읽 청소년 인간관계 관하 주제 다루 책 읽 소설 관심 없 이번 교보문고 가 되 일 있 가 저번 친구 불편 편의점 나오 좋아하 모습 생각 나 없 앞 부분 읽 생각 들 자리 읽 되 책 읽 소설 만화책 장문 버전 생각 어리석 마음 사라지 책 안 던지 조언 모르 현실 공감 부분 초겨울 마음 구성 캐릭터 완벽 서사 만들 제작자 엄청나 노력 기울이 보이 덕분 다양 책 접하 있 거리낌 접하 되 같 감사,1,432
5.0,2023-11-26,추천 감동 이야기,1,14
5.0,2023-11-25,감동 가슴 이야기 읽 쉬 시간 필요 현대인 추천,1,53
5.0,2023-11-25,재밌,1,5
5.0,2023-11-24,재미있 보,1,10
5.0,2023-11-24,재밌,1,5
5.0,2023-11-21,재밌 읽,1,12
5.0,2023-11-19,재밌 읽,1,10
5.0,2023-11-19,,1,44
5.0,2023-11-19,,1,44
5.0,2023-11-19,재밌 보,1,11
5.0,2023-11-18,좋 책 좋 디자인 힐링,1,15
5.0,2023-11-17,오랫만 마음 페이지 순삭,1,28
5.0,2023-11-13,오랜만 사 소설 재밌,1,15
5.0,2023-11-11,외모 지상주의 바뀌 인식 반성 되 주위 둘러보 책 읽 동안 힐링 되 책,1,67
5.0,2023-11-08,호의 선순환 이루어지 소설 내용 돌맹이 물결 번지 사람 호의 갖 가능 확장 대하 생각 되 호의 베풀 어른 살 마음 소설 시작 끝 손 놓 작품,1,160
5.0,2023-11-06,아이 좋아하 책 표지 예쁘 에디션 구입,1,45
5.0,2023-11-05,불편 사람 감동 일상 힐링,1,22
5.0,2023-11-04,연극 보 구매 잼 있 ᆢ,1,19
1.25,2023-11-01,,0,13
5.0,2023-10-31,힐링 소설 글귀 고급 읽 행복,1,31
5.0,2023-10-31,재미있 읽,1,12
5.0,2023-10-28,읽 있 힐링 소설 같,1,21
5.0,2023-10-27,내용 좋 추천,1,12
5.0,2023-10-26,기대 책 오랜만 책 빠지 읽 힐링 필요 추천,1,52
5.0,2023-10-26,마음 책,1,14
5.0,2023-10-22,감동,1,12
5.0,2023-10-21,오랜만 감성 느끼,1,18
5.0,2023-10-20,조카 선물 다양 사연 모습 생활 모습 보 조카 사람 대하 이해 폭 넓히 하,1,69
5.0,2023-10-18,시간 때우 읽 재미있 감동,1,26
5.0,2023-10-18,자 전 읽 좋,1,12
5.0,2023-10-18,재밌 읽 가슴,1,23
5.0,2023-10-18,아이 재밌 읽,1,14
5.0,2023-10-15,힐링 소설 하 구매 기대,1,23
5.0,2023-10-14,재미 읽 생각 하 되 여운 가,1,37
5.0,2023-10-10,착하 이야기 엄청나 인기 있 이유 모르,1,35
5.0,2023-10-10,재밌 이득 핵 이득,1,14
5.0,2023-10-09,마음 책,1,15
5.0,2023-10-08,서로 서로 손,1,11
5.0,2023-10-08,재밌 유닉 하 만족,1,18
5.0,2023-10-07,읽히 재미있 읽,1,31
5.0,2023-10-07,마음 책,1,15
5.0,2023-10-06,많 사람 사랑 이유 있,1,25
5.0,2023-10-05,잼 있 보,1,12
5.0,2023-09-30,호흡 읽 있,1,17
5.0,2023-09-29,마음 책,1,14
5.0,2023-09-29,재미있 편도,1,11
5.0,2023-09-29,재미있,1,10
5.0,2023-09-28,읽히 재미있,1,12
5.0,2023-09-28,재미있,1,5
5.0,2023-09-28,,1,23
5.0,2023-09-26,인터넷 카드 리뷰 보 구매 내용 같 읽 책 읽 읽 요즘 뉴스 보 흉흉하 책 읽 마음 좋 있 사 예정,1,121
5.0,2023-09-25,나 힐링,1,10
5.0,2023-09-24,학교 추천서 읽 읽히,1,20
5.0,2023-09-23,학교 추천서 사 재미 나 보,1,30
5.0,2023-09-20,도서관 빌리 읽 감동 구매 내용 힐링 되,1,31
5.0,2023-09-20,내용 좋 추천,1,14
5.0,2023-09-19,선물 책,1,9
5.0,2023-09-19,좋 인사이트 있 책,1,22
5.0,2023-09-15,내용 좋 지인 선물 하,1,25
5.0,2023-09-15,읽 힐링 요즘 시기 유행,1,23
5.0,2023-09-15,어머니 좋아하 구매,1,20
3.75,2023-09-13,시대 문제점 녹이 감성 잃 읽 편안 다양 인물 상황 몰입 좋,0,82
5.0,2023-09-10,재밌 읽 아이 재밌 읽 감동,1,34
5.0,2023-09-09,지인 추천 읽 되 순식간 하,1,37
5.0,2023-09-04,,1,4
5.0,2023-09-04,지인 선물 재미있,1,17
5.0,2023-09-01,내욜 읽히 시간 가 모르 보 책 중간 정도 읽 그만두 버릇 있 책 재밌 회사 점심시간 시간 내 읽 정도 재밌 결국 삶 관계 관계 소통 책 소개 어울리 사 보,1,165
5.0,2023-08-30,오랜만 마음,1,17
5.0,2023-08-29,남녀노소 사람 감동 위로 주 책,1,26
5.0,2023-08-25,친구 선물 좋아하,1,18
5.0,2023-08-24,최고 최고,1,10
5.0,2023-08-23,재미 감동,1,16
5.0,2023-08-22,쉼 읽히 재미 감동 만족,1,30
5.0,2023-08-22,쉬 읽 공감 재미 만족,1,28
5.0,2023-08-20,재미있 보,1,10
3.75,2023-08-20,오랜만 책 사 기대 책,0,19
2.5,2023-08-20,삶 관계,0,11
5.0,2023-08-18,지인 사 보 좋,1,15
5.0,2023-08-16,힐링 이야기,1,12
5.0,2023-08-16,읽 마음,1,14
5.0,2023-08-16,책 읽 책장 넘기 느리 넘기 많 인생 보 공감 위로 힐링,1,69
5.0,2023-08-15,재미나 읽,1,12
5.0,2023-08-13,힐링 도서,1,11
5.0,2023-08-07,재미 감동 동시 주 책 읽히,1,29
5.0,2023-08-07,재미 감동 동시 주 책 읽히,1,29
5.0,2023-08-05,읽히 힐링 책,1,15
5.0,2023-08-03,책 속 이야기 빠지,1,15
3.75,2023-08-03,편의점 세계 입문,0,13
5.0,2023-08-01,추천 남자 친구 선물 구매 재밋 선물,1,43
5.0,2023-07-31,아이 읽 구입 재밌 하,1,30
5.0,2023-07-30,방학 동안 추천 도서 주문,1,17
5.0,2023-07-29,추천 기대 주문 예쁘 기대,1,33
5.0,2023-07-29,아이 고르 책 재미있 읽,1,17
5.0,2023-07-29,아이 고르 책 재미있 읽,1,18
5.0,2023-07-26,재미있 읽,1,12
5.0,2023-07-26,재미있 읽,1,13
3.75,2023-07-25,재미있 읽,0,13
5.0,2023-07-24,책 감동 이야기,1,14
5.0,2023-07-23,좋 좋 책,1,11
